Lat,Lon,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3689460519126,-71.0941932801305,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3689236740632,-71.0943258040011,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.368840981555,-71.0943171409111,20.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3735119623957,-71.0944209025093,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3737167347841,-71.094486573814,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3703687049953,-71.0970107634798,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3702178058951,-71.097098979171,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3700090979557,-71.0970937725087,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3698897145396,-71.0972814236144,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3696683998336,-71.0972925432724,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3697077510055,-71.097261504026,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3695732171397,-71.0974686759541,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3695148770067,-71.0975132272226,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3693723522726,-71.0975858091056,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.369308067731,-71.0976198190185,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3692389159982,-71.0976602397808,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3691806443489,-71.0976976689866,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3691171040088,-71.0977323874578,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3791324851213,-71.1513353250895,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3791696952817,-71.1514246763367,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3792374016839,-71.151563961125,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3793057468298,-71.1516480382373,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3795383497945,-71.1517584281186,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3797031180659,-71.1517318244664,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3797845515771,-71.1517131212623,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3798586841975,-71.1518102949058,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3798539281886,-71.152061634813,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.379839215148,-71.1521680728475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3798142301167,-71.1524082769755,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3798724367799,-71.1523997358663,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.379873410238,-71.1523509806016,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3797987682004,-71.1523044234137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3782765307453,-71.1520629818277,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.37815628485,-71.1520263738383,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3754527206158,-71.1499368859176,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3755419399531,-71.1499609324811,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.375682625192,-71.1500050145539,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3760124539792,-71.1500987748299,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3771572397238,-71.1492069674719,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3773969725554,-71.1490773724481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3776488543536,-71.1489415202036,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
