LAT_DEG,LONG_DEG,As
24.303,91.45,18.7
24.351,91.369,0.5
24.383,91.413,2
24.378,91.414,1.8
24.575,91.513,10.7
24.628,91.541,25.6
24.612,91.629,4.4
24.572,91.603,0.5
24.469,91.574,0.5
24.542,91.56,6.7
24.489,91.474,12.1
24.088,91.098,0.5
24.072,91.11,0.5
24.064,91.18,2
24.05,91.176,11.9
24.045,91.067,316
23.708,91.139,1.7
23.748,91.138,0.5
23.77,91.071,105
23.746,91.078,24.7
23.791,91.175,0.5
23.77,91.112,0.5
23.811,91.125,5.6
24.039,91.005,382
23.985,90.979,42.2
24.419,91.539,5.8
24.426,91.609,0.5
24.285,91.495,38.5
24.231,91.245,0.8
24.216,91.223,0.5
24.164,91.229,357
24.139,91.192,0.5
24.154,91.153,0.8
23.895,91.228,0.5
23.808,91.204,0.5
23.84,91.153,110
23.836,91.198,0.5
23.838,91.238,5.8
23.865,91.214,0.5
23.98,91.111,0.5
24.04,91.143,31.5
24.071,91.26,0.5
23.971,91.264,0.5
23.945,91.214,0.5
24.024,91.09,68.4
23.924,91.117,0.5
23.866,91.149,230
23.904,91.22,0.5
23.468,90.333,87.6
23.481,90.367,318
23.468,90.321,274
23.478,90.305,111
23.473,90.279,347
23.474,90.256,192
23.544,90.624,293
23.56,90.653,188
23.54,90.673,47.9
23.594,90.63,312
23.588,90.6,224
23.572,90.374,14.3
23.543,90.389,501
23.556,90.428,253
23.571,90.424,458
23.603,90.359,218
23.627,90.312,187
23.614,90.335,129
23.688,90.557,0.5
23.661,90.569,1.4
23.545,90.499,4.5
23.519,90.505,56.3
23.524,90.514,11.7
23.488,90.511,57.6
23.565,90.518,11.7
23.521,90.209,143
23.519,90.257,475
23.539,90.289,193
23.516,90.287,319
23.546,90.337,517
23.576,90.307,130
23.596,90.272,167
23.519,90.443,292
23.501,90.438,216
23.505,90.468,226
23.474,90.456,212
23.489,90.469,70.2
23.429,90.493,76.1
23.441,90.491,76.8
23.472,90.501,108
23.542,90.533,2.4
23.542,90.532,5.9
22.969,89.477,259
22.984,89.446,97.3
22.989,89.462,0.5
22.953,89.434,0.5
22.981,89.456,0.5
22.944,89.478,0.5
22.912,89.499,0.5
22.633,89.52,0.5
22.672,89.53,0.5
22.756,89.527,0.5
22.716,89.581,538
22.689,89.571,0.5
22.717,89.581,0.5
22.567,89.322,68
22.617,89.317,8.7
22.624,89.304,97
22.659,89.334,3.9
22.71,89.306,88.3
22.809,89.398,0.8
22.788,89.578,0.5
22.816,89.568,0.5
22.816,89.567,46.8
22.799,89.538,0.5
22.743,89.552,0.5
22.826,89.011,501
22.918,89.601,2.9
22.915,89.625,18.6
22.9,89.656,36.8
22.87,89.634,109
22.887,89.6,0.5
22.587,89.518,15.8
22.63,89.515,0.5
22.8,89.643,39.5
22.812,89.645,55.9
22.813,89.644,1
22.797,89.589,0.5
22.797,89.589,87.4
22.84,89.559,0.5
22.826,89.575,137
22.84,89.584,3.8
22.83,89.606,18.7
22.865,89.545,0.5
22.862,89.525,0.9
22.862,89.525,0.5
22.864,89.532,0.5
22.831,89.543,1.7
22.811,89.555,0.5
22.837,89.531,0.5
22.628,89.122,40.1
22.685,89.122,108
22.711,89.107,72.9
22.887,89.535,168
22.862,89.556,0.5
22.918,89.569,0.9
22.959,89.556,0.5
22.896,89.508,39.4
22.819,89.421,2.8
22.753,89.419,33.8
22.698,89.434,36.2
22.825,89.274,65.7
22.823,89.331,39.6
22.856,89.359,0.9
22.861,89.422,1.1
22.778,89.706,0.8
22.672,89.618,127
22.709,89.635,15
22.739,89.652,453
22.751,89.714,571
22.78,89.726,355
22.883,89.518,0.5
22.889,89.506,3
22.862,89.542,1.7
22.866,89.541,0.5
22.855,89.542,39
22.865,89.525,62.8
22.483,89.011,24.5
22.455,89.028,5.1
22.392,89.015,15.4
22.393,88.998,0.7
22.376,89.031,18.5
22.435,89.095,2
22.49,89.059,24
22.608,89.001,3.5
22.607,88.999,221
22.558,89.007,192
22.564,88.981,73.5
22.576,88.965,58.7
22.605,88.961,315
22.902,89.768,0.5
22.902,89.768,317
22.927,89.81,103
22.898,89.81,128
22.855,89.819,46.9
22.869,89.748,252
22.575,89.659,148
22.575,89.659,3.2
22.579,89.665,129
22.597,89.641,37.6
22.629,89.61,424
22.677,89.652,472
22.642,89.643,339
23.374,89.369,216
23.411,89.292,49.5
23.375,89.308,0.5
23.329,89.345,64.7
23.301,89.402,0.5
23.327,89.401,0.5
23.041,89.635,13.2
23.048,89.644,200
23.02,89.716,165
23.02,89.664,228
22.751,89.02,73.5
22.745,88.925,262
22.751,88.941,266
22.693,88.985,1.1
22.693,88.985,136
22.683,89.024,82.8
22.647,88.934,9.4
22.86,89.04,187
22.917,89.014,92.5
22.923,89.096,106
22.873,89.084,181
22.836,89.011,453
22.841,88.974,328
22.901,88.949,88
22.371,89.175,0.5
